(.venv) mohith@mohith:~/Desktop/ITC_CAM/defect-detection $ python tools/focus_meter.py
[1:05:45.249437119] [34451]  INFO Camera camera_manager.cpp:340 libcamera v0.7.1+rpt20260609
[1:05:45.272387075] [34460]  INFO RPI pisp.cpp:720 libpisp version v1.5.0 01-05-2026 (05:33:53)
[1:05:45.297851908] [34460]  INFO IPAProxy ipa_proxy.cpp:184 Using tuning file /usr/share/libcamera/ipa/rpi/pisp/imx708.json
[1:05:45.314550977] [34460]  INFO Camera camera_manager.cpp:223 Adding camera '/base/axi/pcie@1000120000/rp1/i2c@88000/imx708@1a' for pipeline handler rpi/pisp
[1:05:45.320880973] [34460]  INFO RPI pisp.cpp:1181 Registered camera /base/axi/pcie@1000120000/rp1/i2c@88000/imx708@1a to CFE device /dev/media1 and ISP device /dev/media2 using PiSP variant BCM2712_D0
[1:05:45.333916937] [34451]  INFO Camera camera.cpp:1216 configuring streams: (0) 1920x1080-XRGB8888/Rec709/Rec709/None/Full (1) 2304x1296-BGGR_PISP_COMP1/RAW
[1:05:45.334697175] [34460]  INFO RPI pisp.cpp:1485 Sensor: /base/axi/pcie@1000120000/rp1/i2c@88000/imx708@1a - Selected sensor format: 2304x1296-SBGGR10_1X10/RAW - Selected CFE format: 2304x1296-PC1B/RAW
[Camera] picamera2 initialised (XRGB8888) at 30 fps.
[Camera] Continuous autofocus enabled.
[Camera] AF speed=fast, range=macro.
[focus] live meter — adjust distance / lighting / focus and watch 'sharp' climb. Target sharp>=80. Ctrl+C to stop.
bright=  65.8  sharp=   19.3  [SOFT]  ####
bright=  98.2  sharp=   76.4  [OK  ]  ###################
bright=  92.6  sharp=  257.9  [OK  ]  ##################################################
bright=  92.5  sharp=  302.5  [OK  ]  ##################################################
bright=  92.5  sharp=  305.1  [OK  ]  ##################################################
bright=  92.4  sharp=  305.2  [OK  ]  ##################################################
bright=  92.3  sharp=  307.1  [OK  ]  ##################################################
bright=  92.2  sharp=  307.4  [OK  ]  ##################################################
bright=  92.1  sharp=  307.0  [OK  ]  ##################################################
bright=  92.0  sharp=  306.7  [OK  ]  ##################################################
bright=  92.3  sharp=  307.2  [OK  ]  ##################################################
bright=  92.3  sharp=  307.0  [OK  ]  ##################################################
bright=  92.1  sharp=  308.4  [OK  ]  ##################################################
bright=  92.1  sharp=  307.0  [OK  ]  ##################################################
bright=  92.1  sharp=  306.9  [OK  ]  ##################################################
bright=  92.3  sharp=  307.4  [OK  ]  ##################################################
bright=  92.3  sharp=  307.2  [OK  ]  ##################################################
bright=  92.0  sharp=  308.3  [OK  ]  ##################################################
bright=  92.2  sharp=  306.8  [OK  ]  ##################################################
bright=  92.2  sharp=  307.2  [OK  ]  ##################################################
bright=  92.3  sharp=  307.7  [OK  ]  ##################################################
bright=  92.3  sharp=  307.7  [OK  ]  ##################################################
bright=  92.1  sharp=  307.9  [OK  ]  ##################################################
bright=  92.1  sharp=  308.3  [OK  ]  ##################################################
bright=  92.2  sharp=  307.1  [OK  ]  ##################################################
bright=  92.2  sharp=  307.8  [OK  ]  ##################################################
bright=  92.2  sharp=  307.7  [OK  ]  ##################################################
bright=  92.0  sharp=  308.2  [OK  ]  ##################################################
bright=  92.1  sharp=  308.1  [OK  ]  ##################################################
bright=  92.3  sharp=  307.7  [OK  ]  ##################################################
bright=  92.2  sharp=  308.9  [OK  ]  ##################################################
bright=  92.1  sharp=  308.9  [OK  ]  ##################################################
bright=  92.0  sharp=  308.0  [OK  ]  ##################################################
bright=  92.0  sharp=  307.8  [OK  ]  ##################################################
bright=  92.3  sharp=  307.7  [OK  ]  ##################################################
bright=  92.1  sharp=  309.2  [OK  ]  ##################################################
bright=  92.1  sharp=  309.4  [OK  ]  ##################################################
bright=  92.1  sharp=  308.2  [OK  ]  ##################################################
bright=  92.1  sharp=  308.6  [OK  ]  ##################################################
bright=  92.3  sharp=  308.4  [OK  ]  ##################################################
bright=  92.0  sharp=  310.0  [OK  ]  ##################################################
bright=  92.0  sharp=  309.7  [OK  ]  ##################################################
bright=  92.0  sharp=  308.0  [OK  ]  ##################################################
bright=  91.9  sharp=  307.8  [OK  ]  ##################################################
bright=  92.1  sharp=  308.7  [OK  ]  ##################################################
bright=  92.2  sharp=  308.9  [OK  ]  ##################################################
bright=  92.0  sharp=  309.9  [OK  ]  ##################################################
bright=  92.0  sharp=  309.6  [OK  ]  ##################################################
bright=  92.1  sharp=  308.7  [OK  ]  ##################################################
